Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2017,Dovercourt/Davenport/Junction,"1,262","1,074","1,216","1,357",**
2017,Downsview,"1,124",798,997,"1,169","1,368"
2017,Dufferin Grove/Little Portugal,"1,161",813,"1,184",**,**
2017,East End-Danforth,"1,141",940,"1,033","1,230",**
2017,East Gwillimbury/Newmarket,"1,192",763,"1,155","1,260",**
2017,Edenbridge-Humber Valley,"1,218",**,"1,041","1,253",**
2017,Eglinton East,"1,127",914,984,"1,136","1,399"
2017,Elms-Old Rexdale,"1,281",**,**,"1,257","1,441"
2017,Englemount-Lawrence,"1,217",905,"1,059","1,249","1,629"
2017,Eringate-Centennial-West Deane,"1,212",**,**,"1,203",**
2017,Etobicoke West Mall,"1,298",**,"1,081","1,317","1,471"
2017,Flemingdon Park,"1,169",**,"1,038","1,236","1,403"
2017,Forest Hill North,"1,356",958,"1,190","1,541","2,008"
2017,Forest Hill South,"1,264",970,"1,168","1,577",**
2017,Georgina,958,**,798,"1,001",**
2017,Guildwood,**,**,**,**,**
2017,Henry Farm,"1,417",**,"1,257","1,429","1,635"
2017,High Park North/Junction,"1,504","1,064","1,388","1,808","2,552"
2017,High Park-Swansea,"1,224",**,"1,161","1,390",**
2017,Humber Heights-Westmount,"1,353",**,"1,239","1,369","1,514"
2017,Humewood-Cedarvale,"1,593",941,"1,343","2,091","2,956"
2017,Ionview,"1,131",935,"1,044","1,192","1,456"
2017,Islington/City Centre North,"1,359","1,223","1,261","1,428","1,506"
2017,Islington/City Centre South,"1,251","1,023",**,"1,341",**
2017,Keelesdale-Eglinton West,930,773,897,"1,046",**
2017,Kennedy Park,"1,046",709,961,"1,095","1,251"
2017,Kensington-Chinatown,**,**,**,**,**
2017,Kingsview Village-The Westway,"1,299","1,107","1,140","1,317","1,529"
2017,Kingsway South,**,**,**,**,**
2017,Lambton Baby Point,"1,290",773,"1,059",**,**
2017,L'Amoreaux/Steeles/Milliken,"1,193",**,"1,078","1,258","1,412"
2017,Lansing-Westgate,"1,452",872,"1,337","1,537","1,616"
2017,Lawrence Park North,"1,459","1,098","1,318","1,702",**
2017,Lawrence Park South,"1,393",996,"1,291","1,762",**
2017,Leaside-Bennington,"1,324",897,"1,180","1,593",**
2017,Little Italy/Trinity-Bellwoods,"1,350",852,**,"1,487",**
2017,Long Branch,997,**,941,"1,075",**
2017,Malton,"1,083",**,864,"1,116",**
2017,Maple Leaf,"1,213",**,"1,092","1,263",**
2017,Markham,"1,339",**,"1,234","1,394","1,544"
2017,Meadowvale,"1,466",**,"1,294","1,527","1,635"
2017,Milton/Halton Hills,"1,139",700,"1,036","1,202","1,594"
2017,Mimico,"1,113",837,"1,075","1,320","1,595"
2017,Mississauga Centre/Streetsville,"1,347",899,"1,189","1,373","1,614"
2017,Moore Park,"1,737",**,"1,497","2,025",**
2017,Morningside,"1,083",**,"1,022","1,085","1,344"
2017,Moss Park/Regent Park,"1,248",878,"1,122","1,552",**
2017,Mount Dennis,"1,201",**,"1,123","1,243",**
2017,Mount Olive-Silverstone-Jamestown/Thistletown,"1,371",**,"1,112","1,352","1,467"
2017,Mount Pleasant East,"1,502","1,012","1,378","1,894","2,007"
2017,Mount Pleasant West,"1,428","1,100","1,377","1,762","2,097"
2017,New Toronto,888,801,821,"1,045",**
2017,North St. James Town,"1,262","1,041","1,269","1,390",**
2017,Oakridge,**,**,**,**,**
2017,Oakville (excl. Bronte),"1,411",980,"1,238","1,434","1,761"
2017,Oakwood-Vaughan,"1,072",802,"1,034","1,186",**
2017,O'Connor-Parkview,"1,144",762,997,"1,226","1,449"
2017,Old East York,"1,135",713,"1,065","1,269",**
2017,Orangeville/Mono,"1,131",**,"1,078","1,190","1,152"
2017,Parkwoods-Donalda,"1,444",937,"1,225","1,473","1,638"
2017,Playter Estates-Danforth,"1,228",930,"1,189","1,536",**
2017,Port Credit,"1,193",915,"1,104","1,255","1,551"
2017,Princess-Rosethorn,**,**,**,**,**
2017,Rexdale-Kipling,"1,041",**,887,"1,028","1,180"
2017,Richmond Hill/Vaughan/King,"1,290",939,"1,153","1,388","1,631"
2017,Riverdale,"1,801",**,**,"2,027",**
2017,Rockcliffe-Smythe,"1,079",806,977,"1,174","1,201"
2017,Roncesvalles,923,**,**,**,**
2017,Rosedale,"1,567",**,"1,491","1,807",**
2017,Rouge,"1,141",**,**,"1,135","1,265"
2017,Rustic/Pelmo Park/Humberlea,"1,127",**,"1,022","1,177",**
2017,Scarborough Village,"1,189",**,"1,089","1,193","1,320"
2017,South Parkdale/King West,"1,034",850,"1,044","1,248",**
2017,St. Andrew-Windfields,"1,447",889,"1,206","1,428","1,852"
2017,Stonegate-Queensway,"1,107",896,"1,051","1,160",**
2017,Tam O'Shanter-Sullivan,"1,174",885,"1,063","1,212","1,416"
2017,The Beaches,"1,209",880,"1,176","1,472",**
2017,Thorncliffe Park,"1,314",915,"1,101","1,430","1,786"
2017,University/Annex,"1,484","1,076","1,353","1,957",**
2017,Uxbridge,"1,227",**,"1,086","1,355","1,302"
2017,Victoria Village,"1,178",874,"1,076","1,281","1,542"
2017,Waterfront Communities -The Island,"2,276",**,"1,883","2,805",**
2017,West Hill,"1,213",**,"1,027","1,202","1,378"
2017,West Humber-Clairville,"1,169",815,"1,038","1,153",**
2017,Westminster-Branson,"1,359",943,"1,177","1,392","1,563"
2017,Weston,"1,117",851,"1,036","1,220",**
2017,Wexford-Maryvale,"1,071",872,"1,006","1,139","1,254"
2017,Whitchurch/Stouffville,"1,153",**,"1,116","1,167",**
2017,Willowdale East/Newtonbrook East,"1,667",**,"1,454","1,815","2,362"
2017,Willowdale West/Newtonbrook West,"1,342",**,"1,216","1,396","1,609"
2017,Willowridge-Martingrove-Richview,"1,601",**,"1,217","1,630","1,863"
