Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2018,Willowdale West/Newtonbrook West,1419,**,"1,292","1,492","1,696",1370
2018,Willowridge-Martingrove-Richview,1521,**,"1,158","1,558","1,782",1370
2018,Woburn,1201,916,"1,098","1,231","1,336",1370
2018,Woodbine Corridor/Greenwood-Coxwell,1116,810,"1,201",**,**,1370
2018,Woodbine-Lumsden,1239,**,"1,116",**,**,1370
2018,Wychwood,**,**,"1,196",**,**,1370
2018,Yonge-Eglinton,1429,"1,088","1,394","1,795",**,1370
2018,Yonge-St. Clair,1626,"1,180","1,412","1,966",**,1370
2018,Yorkdale-Glen Park,1215,**,"1,100","1,276","1,518",1370
2018,Toronto,1370,"1,081","1,261","1,468","1,647",1370
2017,Agincourt/Malvern,1320,**,**,**,"1,560",1308
2017,Ajax/Pickering,1193,**,969,"1,105","1,313",1308
2017,Alderwood,1288,**,997,"1,361",**,1308
2017,Aurora,1369,**,"1,200","1,402",**,1308
2017,Banbury-Don Mills/York Mills,1090,734,"1,055","1,161","1,245",1308
2017,Bathurst Manor,1290,845,"1,153","1,312","1,496",1308
2017,Bay Street Corridor,2112,"1,498","1,900","2,782",**,1308
2017,Bayview Village,1539,**,"1,370","1,614",**,1308
2017,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**,1308
2017,Bedford Park-Nortown,1198,848,"1,049","1,355",**,1308
2017,Beechborough-Greenbrook,1053,740,937,"1,176",**,1308
2017,Bendale,1192,896,"1,067","1,165","1,325",1308
2017,Birchcliffe-Cliffside,1225,914,"1,117","1,358",**,1308
2017,Black Creek,1184,931,"1,023","1,176","1,397",1308
2017,Bradford/West Gwillimbury/New Tecumseth,1057,876,938,"1,127",**,1308
2017,Brampton (East),1340,**,"1,237","1,358","1,458",1308
2017,Brampton (West),1183,834,"1,059","1,219","1,421",1308
2017,Briar Hill-Belgravia,1130,762,"1,024","1,301",**,1308
2017,Broadview North,1199,892,"1,155","1,375","1,427",1308
2017,Bronte,1471,**,"1,339","1,540",**,1308
2017,Brookhaven-Amesbury,1180,818,"1,020","1,219","1,446",1308
2017,Cabbagetown-South St. James Town,1466,"1,021","1,448","1,813",**,1308
2017,Caledon,**,**,**,**,**,1308
2017,Caledonia-Fairbank,1087,843,"1,000","1,224",**,1308
2017,Casa Loma,1821,"1,031","1,419","2,075","3,187",1308
2017,Churchill Meadows/Erin Mills,1391,978,"1,084","1,249","1,759",1308
2017,Church-Yonge Corridor,1489,"1,171","1,486","1,947",**,1308
2017,Clairlea-Birchmount,1036,880,961,"1,180",**,1308
2017,Clanton Park,1140,885,"1,078","1,252",**,1308
2017,Clarkson/Lorne Park,1237,905,"1,147","1,282","1,349",1308
2017,Cliffcrest,1146,**,"1,057","1,183","1,325",1308
2017,Cooksville,1183,925,"1,086","1,257","1,412",1308
2017,Crescent Town,1129,832,"1,037","1,264","1,487",1308
2017,Danforth Village-East York,1059,822,"1,010","1,199",**,1308
2017,Don Valley Village/Pleasant View,1368,910,"1,214","1,359","1,560",1308
2017,Dorset Park,1124,883,989,"1,152","1,373",1308
2017,Dovercourt/Davenport/Junction,1262,"1,074","1,216","1,357",**,1308
2017,Downsview,1124,798,997,"1,169","1,368",1308
2017,Dufferin Grove/Little Portugal,1161,813,"1,184",**,**,1308
2017,East End-Danforth,1141,940,"1,033","1,230",**,1308
2017,East Gwillimbury/Newmarket,1192,763,"1,155","1,260",**,1308
2017,Edenbridge-Humber Valley,1218,**,"1,041","1,253",**,1308
2017,Eglinton East,1127,914,984,"1,136","1,399",1308
2017,Elms-Old Rexdale,1281,**,**,"1,257","1,441",1308
2017,Englemount-Lawrence,1217,905,"1,059","1,249","1,629",1308
2017,Eringate-Centennial-West Deane,1212,**,**,"1,203",**,1308
2017,Etobicoke West Mall,1298,**,"1,081","1,317","1,471",1308
2017,Flemingdon Park,1169,**,"1,038","1,236","1,403",1308
2017,Forest Hill North,1356,958,"1,190","1,541","2,008",1308
2017,Forest Hill South,1264,970,"1,168","1,577",**,1308
2017,Georgina,958,**,798,"1,001",**,1308
2017,Guildwood,**,**,**,**,**,1308
2017,Henry Farm,1417,**,"1,257","1,429","1,635",1308
2017,High Park North/Junction,1504,"1,064","1,388","1,808","2,552",1308
2017,High Park-Swansea,1224,**,"1,161","1,390",**,1308
2017,Humber Heights-Westmount,1353,**,"1,239","1,369","1,514",1308
2017,Humewood-Cedarvale,1593,941,"1,343","2,091","2,956",1308
2017,Ionview,1131,935,"1,044","1,192","1,456",1308
2017,Islington/City Centre North,1359,"1,223","1,261","1,428","1,506",1308
2017,Islington/City Centre South,1251,"1,023",**,"1,341",**,1308
2017,Keelesdale-Eglinton West,930,773,897,"1,046",**,1308
2017,Kennedy Park,1046,709,961,"1,095","1,251",1308
2017,Kensington-Chinatown,**,**,**,**,**,1308
2017,Kingsview Village-The Westway,1299,"1,107","1,140","1,317","1,529",1308
2017,Kingsway South,**,**,**,**,**,1308
2017,Lambton Baby Point,1290,773,"1,059",**,**,1308
2017,L'Amoreaux/Steeles/Milliken,1193,**,"1,078","1,258","1,412",1308
2017,Lansing-Westgate,1452,872,"1,337","1,537","1,616",1308
2017,Lawrence Park North,1459,"1,098","1,318","1,702",**,1308
2017,Lawrence Park South,1393,996,"1,291","1,762",**,1308
2017,Leaside-Bennington,1324,897,"1,180","1,593",**,1308
2017,Little Italy/Trinity-Bellwoods,1350,852,**,"1,487",**,1308
2017,Long Branch,997,**,941,"1,075",**,1308
2017,Malton,1083,**,864,"1,116",**,1308
2017,Maple Leaf,1213,**,"1,092","1,263",**,1308
2017,Markham,1339,**,"1,234","1,394","1,544",1308
2017,Meadowvale,1466,**,"1,294","1,527","1,635",1308
2017,Milton/Halton Hills,1139,700,"1,036","1,202","1,594",1308
2017,Mimico,1113,837,"1,075","1,320","1,595",1308
2017,Mississauga Centre/Streetsville,1347,899,"1,189","1,373","1,614",1308
2017,Moore Park,1737,**,"1,497","2,025",**,1308
2017,Morningside,1083,**,"1,022","1,085","1,344",1308
2017,Moss Park/Regent Park,1248,878,"1,122","1,552",**,1308
2017,Mount Dennis,1201,**,"1,123","1,243",**,1308
2017,Mount Olive-Silverstone-Jamestown/Thistletown,1371,**,"1,112","1,352","1,467",1308
2017,Mount Pleasant East,1502,"1,012","1,378","1,894","2,007",1308
2017,Mount Pleasant West,1428,"1,100","1,377","1,762","2,097",1308
2017,New Toronto,888,801,821,"1,045",**,1308
