Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent,Whole_Toronto_AV
2015,"1,208",CD,Closed,11 PEEL AVE,M6J,125754,Little Portugal,**,1208
2012,"1,108",CD,Closed,90 CALEDONIA PARK RD,M6H,125921,Dovercourt Village,**,1108
2018,"1,370",CD,Draft Plan Approved,840 YONGE ST,M4W,126004,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,838 YONGE ST,M4W,126007,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,838 YONGE ST,M4W,126008,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,836 YONGE ST,M4W,126011,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,836 YONGE ST,M4W,126012,Rosedale,**,1370
2017,"1,308",CD,Closed,1443 BATHURST ST,M5R,126133,The Annex,**,1308
2016,"1,240",CD,Closed,103 OSSINGTON AVE,M6J,126165,Little Portugal,**,1240
2016,"1,240",CD,Closed,109-111 OSSINGTON AVE,M6J,126168,Little Portugal,**,1240
2013,"1,138",CD,Closed,7 AUSTIN TER,M5R,126203,The Annex,**,1138
2016,"1,240",CD,Closed,277 DAVENPORT RD,M5R,126284,The Annex,**,1240
2018,"1,370",CD,Under Review ,94 CUMBERLAND ST,M5R,126304,The Annex,**,1370
2016,"1,240",CD,Closed,192 BLOOR ST,M5S,126312,Harbord,**,1240
2016,"1,240",CD,Closed,192 A BLOOR ST,M5S,126393,Harbord,**,1240
2016,"1,240",CD,Closed,194 BLOOR ST,M5S,126396,Harbord,**,1240
2013,"1,138",CD,Closed,711 DOVERCOURT RD,M6H,126504,Dovercourt Village,**,1138
2013,"1,138",CD,Closed,715 DOVERCOURT RD,M6H,126507,Dovercourt Village,**,1138
2013,"1,138",CD,Closed,717 DOVERCOURT RD,M6H,126509,Dovercourt Village,**,1138
2015,"1,208",CD,Closed,25 NORTHCOTE AVE,M6J,126641,Little Portugal,**,1208
2015,"1,208",CD,Closed,998 COLLEGE ST,M6H,126667,Dovercourt Village,**,1208
2012,"1,108",CD,Closed,743 ST CLAIR AVE,M6C,126908,Humewood-Cedarvale,1141,1108
2014,"1,170",CD,Draft Plan Approved,23 GIVINS ST,M6J,126963,Little Portugal,**,1170
2014,"1,170",CD,Draft Plan Approved,25 GIVINS ST,M6J,126965,Little Portugal,**,1170
2013,"1,138",CD,Closed,540 COLLEGE ST,M6G,127037,Christie,**,1138
2015,"1,208",CD,Closed,854 DUNDAS ST,M6J,127067,Little Portugal,**,1208
2015,"1,208",CD,Closed,854 DUNDAS ST,M6J,127068,Little Portugal,**,1208
2015,"1,208",CD,Closed,455 DOVERCOURT RD,M6H,127183,Dovercourt Village,**,1208
2012,"1,108",CD,Draft Plan Approved,126 A SPADINA RD,M5R,127200,The Annex,**,1108
2015,"1,208",CD,Closed,856 DUNDAS ST,M6J,127290,Little Portugal,**,1208
2015,"1,208",CD,Closed,856 DUNDAS ST,M6J,127291,Little Portugal,**,1208
2015,"1,208",CD,Closed,858 DUNDAS ST,M6J,127294,Little Portugal,**,1208
2015,"1,208",CD,Closed,858 DUNDAS ST,M6J,127295,Little Portugal,**,1208
2018,"1,370",CD,Draft Plan Approved,3 YORKVILLE AVE,M4W,127336,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,3 YORKVILLE AVE,M4W,127337,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,846 YONGE ST,M4W,127340,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,846 YONGE ST,M4W,127341,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,844 YONGE ST,M4W,127344,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,844 YONGE ST,M4W,127345,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,840 YONGE ST,M4W,127348,Rosedale,**,1370
2015,"1,208",CD,Under Review ,259 DOVERCOURT RD,M6J,127485,Little Portugal,**,1208
2015,"1,208",CD,Closed,1243 DUNDAS ST,M6J,127491,Little Portugal,**,1208
2013,"1,138",CD,Closed,707 DOVERCOURT RD,M6H,127634,Dovercourt Village,**,1138
2013,"1,138",CD,Closed,709 DOVERCOURT RD,M6H,127637,Dovercourt Village,**,1138
2016,"1,240",CD,Closed,56 BLUE JAYS WAY,M5V,127831,CN Tower,**,1240
2011,"1,073",CD,Closed,500 WELLINGTON ST,M5V,127875,CN Tower,**,1073
2013,"1,138",CD,Closed,560 KING ST,M5V,127929,CN Tower,**,1138
2015,"1,208",CD,Closed,525 ADELAIDE ST,M5V,127938,CN Tower,**,1208
2012,"1,108",CD,Closed,508 WELLINGTON ST,M5V,127949,CN Tower,**,1108
2016,"1,240",CD,Closed,835 ST CLAIR AVE,M6C,128086,Humewood-Cedarvale,1386,1240
2016,"1,240",CD,Closed,833 ST CLAIR AVE,M6C,128164,Humewood-Cedarvale,1386,1240
2016,"1,240",CD,Closed,829 ST CLAIR AVE,M6C,128167,Humewood-Cedarvale,1386,1240
2017,"1,308",CD,Closed,81 PETER ST,M5V,128195,CN Tower,**,1308
2016,"1,240",CD,Closed,200 BLOOR ST,M5S,128221,Harbord,**,1240
2014,"1,170",CD,Closed,131 HAZELTON AVE,M5R,128500,The Annex,**,1170
2015,"1,208",CD,Closed,621 KING ST,M5V,128560,CN Tower,**,1208
2015,"1,208",CD,Closed,147 DAVENPORT RD,M5R,128570,The Annex,**,1208
2018,"1,370",CD,Draft Plan Approved,128 PEARS AVE,M5R,128609,The Annex,**,1370
2018,"1,370",CD,Under Review ,580 FRONT ST,M5V,128616,CN Tower,**,1370
2018,"1,370",CD,Under Review ,580 FRONT ST,M5V,128618,CN Tower,**,1370
2013,"1,138",CD,Closed,60 JOHN ST,M9N,128630,Weston,948,1138
2017,"1,308",CD,Draft Plan Approved,604 RICHMOND ST,M5V,128697,CN Tower,**,1308
2017,"1,308",CD,Draft Plan Approved,608 RICHMOND ST,M5V,128700,CN Tower,**,1308
2017,"1,308",CD,Draft Plan Approved,610 RICHMOND ST,M5V,128703,CN Tower,**,1308
2013,"1,138",CD,Closed,11 CHARLOTTE ST,M5V,128741,CN Tower,**,1138
2017,"1,308",CD,Draft Plan Approved,612 RICHMOND ST,M5V,128776,CN Tower,**,1308
2013,"1,138",CD,Closed,299 ADELAIDE ST,M5V,128875,CN Tower,**,1138
2013,"1,138",CD,Closed,295 ADELAIDE ST,M5V,128879,CN Tower,**,1138
2018,"1,370",CD,Draft Plan Approved,622 A KING ST,M5V,128968,CN Tower,**,1370
2011,"1,073",CD,Closed,650 KING ST,M5V,128974,CN Tower,**,1073
2017,"1,308",CD,Under Review ,90 NIAGARA ST,M5V,128980,CN Tower,**,1308
2017,"1,308",CD,Draft Plan Approved,618 RICHMOND ST,M5V,129093,CN Tower,**,1308
2016,"1,240",CD,Closed,290 ADELAIDE ST,M5V,129104,CN Tower,**,1240
2016,"1,240",CD,Closed,434 ADELAIDE ST,M5V,129151,CN Tower,**,1240
2016,"1,240",CD,Closed,438 ADELAIDE ST,M5V,129156,CN Tower,**,1240
2015,"1,208",CD,Closed,203 RICHMOND ST,M5V,129353,CN Tower,**,1208
2016,"1,240",CD,Closed,203 RICHMOND ST,M5V,129354,CN Tower,**,1240
2016,"1,240",CD,Closed,91 AUGUSTA AVE,M5T,129357,Chinatown,**,1240
2018,"1,370",CD,Draft Plan Approved,1 ADELAIDE PL,M5V,129402,CN Tower,**,1370
2018,"1,370",CD,Draft Plan Approved,505 ADELAIDE ST,M5V,129408,CN Tower,**,1370
2018,"1,370",CD,Draft Plan Approved,501 ADELAIDE ST,M5V,129412,CN Tower,**,1370
2016,"1,240",CD,Closed,70 SHUTER ST,M5B,129427,Ryerson,**,1240
2014,"1,170",CD,Closed,117 PETER ST,M5V,129443,CN Tower,**,1170
2014,"1,170",CD,Closed,117 PETER ST,M5V,129444,CN Tower,**,1170
2017,"1,308",CD,Final Approval Completed,202 BATHURST ST,M5T,129455,Chinatown,**,1308
2017,"1,308",CD,Closed,161 PALMERSTON AVE,M6J,129459,Little Portugal,**,1308
2017,"1,308",CD,Closed,130 QUEENS QUAY  ,M5A,129468,Harbourfront,**,1308
2013,"1,138",CD,Closed,170 MARKHAM ST,M6J,129506,Little Portugal,**,1138
2018,"1,370",CD,Draft Plan Approved,197 YONGE ST,M5B,129523,Ryerson,**,1370
2015,"1,208",CD,Closed,199 RICHMOND ST,M5V,129584,CN Tower,**,1208
2016,"1,240",CD,Closed,199 RICHMOND ST,M5V,129585,CN Tower,**,1240
2015,"1,208",CD,Closed,181 RICHMOND ST,M5V,129589,CN Tower,**,1208
2016,"1,240",CD,Closed,181 RICHMOND ST,M5V,129590,CN Tower,**,1240
2016,"1,240",CD,Closed,68 SHUTER ST,M5B,129596,Ryerson,**,1240
2017,"1,308",CD,Closed,175 DUNDAS ST,M5A,129627,Harbourfront,**,1308
2017,"1,308",CD,Closed,191 DUNDAS ST,M5A,129630,Harbourfront,**,1308
2016,"1,240",CD,Closed,223 ST CLAIR AVE,M4V,129652,Deer Park,**,1240
2016,"1,240",CD,Closed,219 ST CLAIR AVE,M4V,129657,Deer Park,**,1240
2018,"1,370",CD,Under Review ,27 BATHURST ST,M5V,129664,CN Tower,**,1370
2018,"1,370",CD,Under Review ,27 BATHURST ST,M5V,129666,CN Tower,**,1370
2016,"1,240",CD,Closed,66 SHUTER ST,M5B,129673,Ryerson,**,1240
2016,"1,240",CD,Closed,64 SHUTER ST,M5B,129678,Ryerson,**,1240
2015,"1,208",CD,Draft Plan Approved,15 BEVERLEY ST,M5T,129689,Chinatown,**,1208
2015,"1,208",CD,Draft Plan Approved,17 BEVERLEY ST,M5T,129693,Chinatown,**,1208
2013,"1,138",CD,Draft Plan Approved,284 SHERBOURNE ST,M5A,129712,Harbourfront,**,1138
2018,"1,370",CD,Under Review ,49 NIAGARA ST,M5V,129730,CN Tower,**,1370
2015,"1,208",CD,Draft Plan Approved,19 BEVERLEY ST,M5T,129750,Chinatown,**,1208
2015,"1,208",CD,Draft Plan Approved,21 BEVERLEY ST,M5T,129755,Chinatown,**,1208
2016,"1,240",CD,Closed,108 SHUTER ST,M5A,129803,Harbourfront,**,1240
2016,"1,240",CD,Closed,102 SHUTER ST,M5A,129807,Harbourfront,**,1240
2016,"1,240",CD,Closed,215 ST CLAIR AVE,M4V,129824,Deer Park,**,1240
2012,"1,108",CD,Application Received,783 BATHURST ST,M5S,129872,Harbord,**,1108
2012,"1,108",CD,Closed,783 BATHURST ST,M5S,129873,Harbord,**,1108
2018,"1,370",CD,Under Review ,49 NIAGARA ST,M5V,129906,CN Tower,**,1370
2018,"1,370",CD,Under Review ,33-45 NIAGARA ST,M5V,129908,CN Tower,**,1370
2018,"1,370",CD,Under Review ,33-45 NIAGARA ST,M5V,129909,CN Tower,**,1370
2018,"1,370",CD,Under Review ,578 FRONT ST,M5V,129918,CN Tower,**,1370
2018,"1,370",CD,Under Review ,578 FRONT ST,M5V,129920,CN Tower,**,1370
2015,"1,208",CD,Draft Plan Approved,27 BEVERLEY ST,M5T,129938,Chinatown,**,1208
2018,"1,370",CD,Draft Plan Approved,875 QUEEN ST,M4M,129959,Studio District,**,1370
2015,"1,208",CD,Closed,431 RICHMOND ST,M5V,129974,CN Tower,**,1208
2012,"1,108",CD,Closed,32 CAMDEN ST,M5V,129977,CN Tower,**,1108
2016,"1,240",CD,Closed,426 ADELAIDE ST,M5V,129987,CN Tower,**,1240
2016,"1,240",CD,Closed,20 VANAULEY ST,M5T,130001,Chinatown,**,1240
2017,"1,308",CD,Closed,70 COLBORNE ST,M5E,130110,Berczy Park,**,1308
2015,"1,208",CD,Closed,21 GRENVILLE ST,M4Y,130138,Church and Wellesley,**,1208
2010,"1,048",CD,Closed,56 LIPPINCOTT ST,M5T,130148,Chinatown,**,1048
2013,"1,138",CD,Closed,328 ADELAIDE ST,M5V,130192,CN Tower,**,1138
2013,"1,138",CD,Closed,328 ADELAIDE ST,M5V,130193,CN Tower,**,1138
2016,"1,240",CD,Closed,428 ADELAIDE ST,M5V,130243,CN Tower,**,1240
2016,"1,240",CD,Closed,430 ADELAIDE ST,M5V,130247,CN Tower,**,1240
2016,"1,240",CD,Closed,432 ADELAIDE ST,M5V,130252,CN Tower,**,1240
2013,"1,138",CD,Closed,222 SPADINA AVE,M5T,130288,Chinatown,**,1138
2017,"1,308",CD,Draft Plan Approved,614 RICHMOND ST,M5V,130362,CN Tower,**,1308
2015,"1,208",CD,Closed,155 DUNDAS ST,M5B,130390,Ryerson,**,1208
2011,"1,073",CD,Closed,207 BEVERLEY ST,M5T,130395,Chinatown,**,1073
2017,"1,308",CD,Draft Plan Approved,13-17 CUMMINGS ST,M4M,130412,Studio District,**,1308
2017,"1,308",CD,Draft Plan Approved,411 CHURCH ST,M4Y,130454,Church and Wellesley,**,1308
2015,"1,208",CD,Closed,990 BAY ST,M5S,130468,Harbord,**,1208
2015,"1,208",CD,Closed,984 BAY ST,M5S,130473,Harbord,**,1208
2017,"1,308",CD,Draft Plan Approved,381 SHUTER ST,M5A,130486,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,383 SHUTER ST,M5A,130488,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,385 SHUTER ST,M5A,130491,Harbourfront,**,1308
2015,"1,208",CD,Closed,14 HAYDEN ST,M4Y,130505,Church and Wellesley,**,1208
2014,"1,170",CD,Closed,151 ROBERT ST,M5S,130533,Harbord,**,1170
2018,"1,370",CD,Draft Plan Approved,887 QUEEN ST,M4M,130577,Studio District,**,1370
2012,"1,108",CD,Closed,999 DUNDAS ST,M4M,130671,Studio District,**,1108
2018,"1,370",CD,Draft Plan Approved,591 DUNDAS ST,M5T,130715,Chinatown,**,1370
2013,"1,138",CD,Closed,55 HOWIE AVE,M4M,130749,Studio District,**,1138
2017,"1,308",CD,Draft Plan Approved,379 SHUTER ST,M5A,130787,Harbourfront,**,1308
2016,"1,240",CD,Closed,11 ST THOMAS ST,M5S,130840,Harbord,**,1240
2016,"1,240",CD,Closed,9 SULTAN ST,M5S,130845,Harbord,**,1240
2016,"1,240",CD,Closed,7 SULTAN ST,M5S,130850,Harbord,**,1240
2015,"1,208",CD,Closed,368 DUNDAS ST,M5A,130857,Harbourfront,**,1208
2015,"1,208",CD,Closed,366 DUNDAS ST,M5A,130858,Harbourfront,**,1208
2015,"1,208",CD,Closed,362 DUNDAS ST,M5A,130859,Harbourfront,**,1208
2015,"1,208",CD,Closed,360 DUNDAS ST,M5A,130860,Harbourfront,**,1208
2015,"1,208",CD,Closed,358 DUNDAS ST,M5A,130861,Harbourfront,**,1208
2016,"1,240",CD,Closed,61 HAYDEN ST,M4Y,130901,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,61 HAYDEN ST,M4Y,130903,Church and Wellesley,**,1308
2017,"1,308",CD,Closed,261 QUEENS QUAY  ,M5A,130959,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,261 QUEENS QUAY  ,M5A,130961,Harbourfront,**,1308
2018,"1,370",CD,Draft Plan Approved,7 GLOUCESTER ST,M4Y,130984,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,31 DUNDONALD ST,M4Y,131024,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,33 DUNDONALD ST,M4Y,131028,Church and Wellesley,**,1370
2016,"1,240",CD,Closed,355 CHURCH ST,M5B,131089,Ryerson,**,1240
2018,"1,370",CD,Draft Plan Approved,9 GLOUCESTER ST,M4Y,131126,Church and Wellesley,**,1370
2018,"1,370",CD,Draft Plan Approved,11 GLOUCESTER ST,M4Y,131127,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,46 WELLESLEY ST,M4Y,131271,Church and Wellesley,**,1370
2016,"1,240",CD,Closed,188 LIPPINCOTT ST,M5S,131282,Harbord,**,1240
2016,"1,240",CD,Closed,365 CHURCH ST,M5B,131286,Ryerson,**,1240
2016,"1,240",CD,Closed,64 CHARLES ST,M4Y,131291,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,64 CHARLES ST,M4Y,131293,Church and Wellesley,**,1308
2017,"1,308",CD,Draft Plan Approved,387 SHUTER ST,M5A,131298,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,17 DUNDONALD ST,M4Y,131330,Church and Wellesley,**,1308
2014,"1,170",CD,Closed,5 ST JOSEPH ST,M4Y,131383,Church and Wellesley,**,1170
2011,"1,073",CD,Closed,620 CHURCH ST,M4Y,131427,Church and Wellesley,**,1073
2015,"1,208",CD,Closed,42 CHARLES ST,M4Y,131443,Church and Wellesley,**,1208
2018,"1,370",CD,Draft Plan Approved,593 YONGE ST,M4Y,131469,Church and Wellesley,**,1370
2015,"1,208",CD,Closed,709 YONGE ST,M4Y,131487,Church and Wellesley,**,1208
2015,"1,208",CD,Closed,711 YONGE ST,M4Y,131489,Church and Wellesley,**,1208
2015,"1,208",CD,Closed,23 BLOOR ST,M4W,131491,Rosedale,**,1208
2018,"1,370",CD,Draft Plan Approved,897 QUEEN ST,M4M,131637,Studio District,**,1370
2015,"1,208",CD,Closed,251 KING ST,M5A,131731,Harbourfront,**,1208
2018,"1,370",CD,Draft Plan Approved,120 PARLIAMENT ST,M5A,131736,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,116 PARLIAMENT ST,M5A,131742,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,114 PARLIAMENT ST,M5A,131819,Harbourfront,**,1370
2011,"1,073",CD,Closed,591 DUNDAS ST,M5T,131930,Chinatown,**,1073
2010,"1,048",CD,Closed,1386 GERRARD ST,M4L,131955,The Beaches West,**,1048
2014,"1,170",CD,Closed,345 CARLAW AVE,M4M,131982,Studio District,**,1170
2018,"1,370",CD,Draft Plan Approved,112 PARLIAMENT ST,M5A,132024,Harbourfront,**,1370
2016,"1,240",CD,Closed,5 SULTAN ST,M5S,132101,Harbord,**,1240
2013,"1,138",CD,Closed,591 DUNDAS ST,M5T,132205,Chinatown,**,1138
2014,"1,170",CD,Closed,591 DUNDAS ST,M5T,132207,Chinatown,**,1170
