,Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Postcode,APPLICATION_TYPE,STATUS,ADDRESS,_id,Whole_Toronto_AV
121,2012,West Hill,967,**,859,970,"1,075",M1E,CD,Closed,4691 KINGSTON RD,121421,"1,108"
122,2012,Humewood-Cedarvale,"1,141",759,"1,012","1,417","2,326",M6C,CD,Closed,530 ST CLAIR AVE,172256,"1,108"
123,2012,Humewood-Cedarvale,"1,141",759,"1,012","1,417","2,326",M6C,CD,Closed,743 ST CLAIR AVE,126908,"1,108"
124,2012,New Toronto,854,**,790,969,**,M8V,CD,Closed,2230 LAKE SHORE BLVD,165448,"1,108"
125,2010,Alderwood,**,**,**,**,**,M8W,CD,Closed,20 MARINA AVE,165433,"1,048"
126,2010,Long Branch,831,672,767,867,**,M8W,CD,Closed,20 MARINA AVE,165433,"1,048"
127,2010,Bayview Village,"1,328",**,"1,109","1,347",**,M2K,CD,Closed,0 SINGER CRT,167180,"1,048"
128,2010,Bayview Village,"1,328",**,"1,109","1,347",**,M2K,CD,Closed,650 SHEPPARD AVE,116615,"1,048"
129,2010,Bayview Village,"1,328",**,"1,109","1,347",**,M2K,CD,Closed,676 SHEPPARD AVE,170530,"1,048"
130,2010,Forest Hill North,"1,177",777,"1,005","1,296","1,717",M5P,CD,Closed,8 HIGHBOURNE RD,172930,"1,048"
131,2010,Oakridge,937,758,887,"1,096",**,M1L,CD,Under Review ,80 BELL ESTATE RD,116813,"1,048"
132,2013,Bathurst Manor,"1,181",732,"1,035","1,211","1,401",M3H,CD,Closed,545 WILSON AVE,144183,"1,138"
133,2013,Bayview Village,"1,449",**,"1,200","1,448",**,M2K,CD,Draft Plan Approved,18 REAN DR,155330,"1,138"
134,2013,Forest Hill North,"1,249",815,"1,084","1,384","1,923",M5P,CD,Closed,17 GLEBE RD,137147,"1,138"
135,2013,Henry Farm,"1,217",**,"1,078","1,217","1,461",M2J,CD,Closed,100 PARKWAY FOREST DR,152921,"1,138"
136,2013,Henry Farm,"1,217",**,"1,078","1,217","1,461",M2J,CD,Draft Plan Approved,100 PARKWAY FOREST DR,152727,"1,138"
137,2013,Henry Farm,"1,217",**,"1,078","1,217","1,461",M2J,CD,Closed,120-130 GEORGE HENRY BLVD,160413,"1,138"
138,2013,Henry Farm,"1,217",**,"1,078","1,217","1,461",M2J,CD,Draft Plan Approved,120-130 GEORGE HENRY BLVD,160412,"1,138"
139,2013,Moore Park,"1,439","1,003","1,307","1,876",**,M4T,CD,Closed,1815 YONGE ST,136485,"1,138"
140,2013,Moore Park,"1,439","1,003","1,307","1,876",**,M4T,CD,Closed,21 SHAFTESBURY AVE,166389,"1,138"
141,2013,New Toronto,886,**,829,989,**,M8V,CD,Closed,2200 LAKE SHORE BLVD,172316,"1,138"
142,2013,New Toronto,886,**,829,989,**,M8V,CD,Closed,2200 LAKE SHORE BLVD,172317,"1,138"
143,2013,New Toronto,886,**,829,989,**,M8V,CD,Closed,68 MARINE PARADE DR,167219,"1,138"
144,2013,New Toronto,886,**,829,989,**,M8V,CD,Closed,120 TWENTY FOURTH ST,174160,"1,138"
145,2013,The Beaches,"1,161",775,"1,075","1,385",**,M4E,CD,Closed,2316 GERRARD ST,136456,"1,138"
146,2013,Weston,948,731,851,"1,080","1,335",M9N,CD,Closed,60 JOHN ST,128630,"1,138"
147,2017,Bayview Village,"1,539",**,"1,370","1,614",**,M2K,CD,Closed,577 SHEPPARD AVE,154007,"1,308"
148,2017,Downsview,"1,124",798,997,"1,169","1,368",M6L,CD,Closed,2522 KEELE ST,143077,"1,308"
149,2017,Moore Park,"1,737",**,"1,497","2,025",**,M4T,CD,Closed,126 HUDSON DR,136337,"1,308"
150,2017,Moore Park,"1,737",**,"1,497","2,025",**,M4T,CD,Closed,1133 YONGE ST,134223,"1,308"
151,2017,Moore Park,"1,737",**,"1,497","2,025",**,M4T,CD,Closed,104 ROSEDALE HEIGHTS DR,135717,"1,308"
152,2017,Roncesvalles,923,**,**,**,**,M6R,CD,Draft Plan Approved,158 STERLING RD,125220,"1,308"
153,2017,Rouge,"1,141",**,**,"1,135","1,265",M1B,CD,Draft Plan Approved,1355 NEILSON RD,164449,"1,308"
154,2017,Weston,"1,117",851,"1,036","1,220",**,M9N,CD,Draft Plan Approved,2059 WESTON RD,167927,"1,308"
155,2014,Bayview Village,"1,330",**,"1,176","1,413",**,M2K,CD,Draft Plan Approved,1181 SHEPPARD AVE,151812,"1,170"
156,2014,Bayview Village,"1,330",**,"1,176","1,413",**,M2K,CD,Draft Plan Approved,1001-1019 SHEPPARD AVE,160158,"1,170"
157,2014,Flemingdon Park,"1,102",**,945,"1,165","1,410",M3C,CD,Closed,75 THE DONWAY  ,151337,"1,170"
158,2014,Flemingdon Park,"1,102",**,945,"1,165","1,410",M3C,CD,Application Received,75 THE DONWAY  ,151336,"1,170"
159,2014,Flemingdon Park,"1,102",**,945,"1,165","1,410",M3C,CD,Draft Plan Approved,18 CONCORDE PL,163787,"1,170"
160,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Draft Plan Approved,1733-1735 BATHURST ST,136719,"1,170"
161,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Under Review ,320 TWEEDSMUIR AVE,153923,"1,170"
162,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,193 DUPLEX AVE,137051,"1,170"
163,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Under Review ,310 TWEEDSMUIR AVE,154010,"1,170"
164,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,207 DUPLEX AVE,139026,"1,170"
165,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,205 DUPLEX AVE,138803,"1,170"
166,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,203 DUPLEX AVE,138800,"1,170"
167,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,201 DUPLEX AVE,138797,"1,170"
168,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,199 DUPLEX AVE,138794,"1,170"
169,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,195 DUPLEX AVE,138788,"1,170"
170,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,197 DUPLEX AVE,138791,"1,170"
171,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,211 DUPLEX AVE,139109,"1,170"
172,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,68 BERWICK AVE,139457,"1,170"
173,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,70 BERWICK AVE,139460,"1,170"
174,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,72 BERWICK AVE,139463,"1,170"
175,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,74 BERWICK AVE,139466,"1,170"
176,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,209 DUPLEX AVE,139106,"1,170"
177,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,54 BERWICK AVE,139148,"1,170"
178,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,56 BERWICK AVE,139151,"1,170"
179,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,58 BERWICK AVE,139154,"1,170"
180,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,62 BERWICK AVE,139157,"1,170"
181,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,66 BERWICK AVE,139236,"1,170"
182,2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994",M5P,CD,Closed,191 DUPLEX AVE,164588,"1,170"
183,2014,Henry Farm,"1,288",**,"1,148","1,290","1,500",M2J,CD,Closed,100 PARKWAY FOREST DR,152923,"1,170"
184,2014,Henry Farm,"1,288",**,"1,148","1,290","1,500",M2J,CD,Closed,120-130 GEORGE HENRY BLVD,160414,"1,170"
185,2014,Mount Dennis,"1,053",729,938,"1,120",**,M6M,CD,Closed,475 ROGERS RD,165706,"1,170"
186,2014,New Toronto,879,**,801,967,**,M8V,CD,Closed,2200 LAKE SHORE BLVD,115836,"1,170"
187,2014,New Toronto,879,**,801,967,**,M8V,CD,Closed,11 SUPERIOR AVE,156443,"1,170"
188,2014,New Toronto,879,**,801,967,**,M8V,CD,Closed,2157 LAKE SHORE BLVD,166196,"1,170"
189,2014,New Toronto,879,**,801,967,**,M8V,CD,Closed,2392-2398 LAKE SHORE BLVD,156937,"1,170"
190,2014,Roncesvalles,942,**,889,**,**,M6R,CD,Closed,30 HOWARD PARK AVE,172285,"1,170"
191,2014,Roncesvalles,942,**,889,**,**,M6R,CD,Closed,66 HOWARD PARK AVE,124208,"1,170"
192,2014,Roncesvalles,942,**,889,**,**,M6R,CD,Closed,60 HOWARD PARK AVE,124116,"1,170"
193,2014,Roncesvalles,942,**,889,**,**,M6R,CD,Closed,30 A HOWARD PARK AVE,124113,"1,170"
194,2014,Roncesvalles,942,**,889,**,**,M6R,CD,Closed,24 HOWARD PARK AVE,123884,"1,170"
195,2014,The Beaches,"1,139",815,"1,044","1,439",**,M4E,CD,Closed,580 KINGSTON RD,134732,"1,170"
196,2011,Bayview Village,"1,381",**,"1,147","1,380",**,M2K,CD,Closed,17 KENASTON GDNS,152107,"1,073"
197,2011,Dorset Park,979,**,868,994,"1,101",M1P,CD,Closed,300 NANTUCKET BLVD,118630,"1,073"
198,2011,Moore Park,"1,363",926,"1,268","1,756",**,M4T,CD,Closed,184 ST CLAIR AVE,134464,"1,073"
199,2011,Rouge,"1,013",**,**,"1,021","1,136",M1B,CD,Closed,38 TIDESWELL BLVD,123714,"1,073"
200,2011,Rouge,"1,013",**,**,"1,021","1,136",M1B,CD,Closed,38 TIDESWELL BLVD,155171,"1,073"
